driver_number,year,event,team,FP1_sector1_time,FP1_sector2_time,FP1_sector3_time,FP1_total_time,FP2_sector1_time,FP2_sector2_time,FP2_sector3_time,FP2_total_time,FP3_sector1_time,FP3_sector2_time,FP3_sector3_time,FP3_total_time,Q_sector1_time,Q_sector2_time,Q_sector3_time,Q_total_time,R_sector1_time,R_sector2_time,R_sector3_time,R_total_time,race_position
1,2025,Australian Grand Prix,Red Bull Racing,36.635523,22.741714,44.779777,104.157015,35.356863,22.138545,42.903368,100.398777,39.676611,23.485666,46.045307,109.207585,38.196941,20.523529,36.088,94.80847,36.825607,23.512403,47.040719,107.378729,2
4,2025,Australian Grand Prix,McLaren,38.422,21.734285,43.457222,103.613507,34.548466,22.138633,42.120407,98.807507,39.3792,23.068526,45.949666,108.397392,39.25265,20.98675,37.834642,98.074042,37.191232,23.721087,46.479192,107.391512,1
5,2025,Australian Grand Prix,Kick Sauber,39.730545,24.033818,47.448833,111.213196,35.56031,22.132275,44.491461,102.184047,39.541833,23.540666,49.316133,112.398633,41.563923,20.917692,41.165888,103.647504,36.537272,23.252911,47.801733,107.591917,R
6,2025,Australian Grand Prix,Racing Bulls,36.79944,20.72076,45.530863,103.051063,35.5303,21.4769,43.218037,100.225237,40.486055,22.123166,46.109428,108.71865,43.23,19.058416,37.75975,100.048166,,,,0.0,R
7,2025,Australian Grand Prix,Alpine,37.25675,22.59121,45.592166,105.440127,34.896433,21.525066,40.737925,97.159425,42.961333,23.574222,49.5745,116.110055,41.586866,19.894,39.05509,100.535957,,,,0.0,R
10,2025,Australian Grand Prix,Alpine,34.497333,22.101181,44.111,100.709515,35.812733,21.967666,41.078666,98.859066,40.217045,26.522727,46.92305,113.662822,40.8803,19.71045,38.077266,98.668016,36.575125,23.519842,47.66921,107.764177,11
12,2025,Australian Grand Prix,Mercedes,36.205913,22.138958,44.056428,102.401299,34.3628,21.651741,44.0545,100.069041,38.1099,23.19015,42.067076,103.367126,37.631888000000004,20.711555,38.636285,96.97973,36.392589,23.503333,47.519421,107.41534300000001,4
14,2025,Australian Grand Prix,Aston Martin,32.323739,19.935391,42.47295,94.73208,32.146333,20.468,40.508958,93.123291,35.639909,20.41109,46.077944,102.128944,41.518461,19.653923,37.73175,98.904134,36.02787,21.895437,46.217875,104.141183,R
16,2025,Australian Grand Prix,Ferrari,37.7957,21.196,43.399823,102.391523,34.659937,21.081312,42.372724,98.113974,42.32709,23.118,50.939111,116.384202,38.93255,19.64155,39.249923,97.824023,36.446892,23.270561,47.955543,107.672998,8
18,2025,Australian Grand Prix,Aston Martin,36.30645,22.178947,47.387529,105.872926,33.774571,20.6695,39.309791,93.753863,37.118,21.986545,43.841333,102.945878,38.534466,19.763533,37.5125,95.810499,36.424017,23.536508,47.605614,107.56614,6
22,2025,Australian Grand Prix,Racing Bulls,38.468636,21.61409,46.782789,106.865516,33.621344,20.537413,40.740615,94.899374,38.878,24.095294,45.068384,108.041678,40.561235,20.239764,37.120833,97.921833,36.653267,23.508087,47.688894,107.85025,12
23,2025,Australian Grand Prix,Williams,37.164277,21.762666,48.110733,107.037677,34.897107,21.213464,43.93152,100.042091,37.277285,22.38019,45.395555,105.053031,40.2211,19.3337,37.4538,97.0086,36.593125,23.650473,47.297385,107.540984,5
27,2025,Australian Grand Prix,Kick Sauber,38.571,22.794176,48.355928,109.721105,33.474291,21.409791,41.677333,96.561416,37.509,22.7,50.162384,110.371384,40.654777,19.625888,39.1155,99.396166,36.523732,23.366929,47.675175,107.565837,7
30,2025,Australian Grand Prix,Red Bull Racing,37.630636,24.141714,47.915894,109.688245,35.149733,23.440266,41.652269,100.242269,35.4885,25.5045,39.896,100.889,40.952714,21.474571,39.00025,101.427535,36.1156,23.328326,47.357456,106.801382,R
31,2025,Australian Grand Prix,Haas F1 Team,36.9362,22.426066,45.510538,104.872805,34.844354,21.335064,42.58225,98.761669,39.951611,22.950388,48.336125,111.238124,39.535875,19.971333,37.6685,97.175708,37.101803,22.997982,47.710666,107.810452,13
44,2025,Australian Grand Prix,Ferrari,36.917947,21.729263,42.80475,101.45196,35.164709,21.043645,43.021035,99.22939,42.5196,25.8211,51.521,119.8617,40.570454,20.217045,39.682529,100.470029,36.604125,23.455596,47.638052,107.697774,10
55,2025,Australian Grand Prix,Williams,35.379333,21.304583,43.596681,100.280598,34.7387,20.724233,43.121407,98.58434,38.59713,22.47313,44.57705,105.64731,38.7294,20.06365,38.597333,97.390383,,,,0.0,R
63,2025,Australian Grand Prix,Mercedes,37.57688,22.86992,45.282521,105.729321,34.852066,21.230733,41.753115,97.835915,39.441764,23.733647,47.0965,110.271911,37.627578,19.89445,39.031928,96.553957,37.010678,23.614052,46.868456,107.493187,3
81,2025,Australian Grand Prix,McLaren,38.836368,22.165736,44.101625,105.10373,34.663866,21.679366,42.406296,98.749529,37.5105,21.82275,43.926583,103.259833,37.883333,20.102722,39.403166,97.389222,36.515517,23.259192,46.221964,105.996675,9
87,2025,Australian Grand Prix,Haas F1 Team,35.89425,22.138083,40.1105,98.142833,,,,,27.869,19.587,38.308,85.764,,33.462,,33.462,36.789017,23.359947,47.715649,107.864614,14
